id,context,question,answer0,answer1,answer2,answer3,label,pred,logits
3Y7LTZE0YTKJZCL7LV2YDDZ6GXCUZ2##3ERET4BTVN7TC9WCDMAZJMK3DS6K9B##A394JO4NEPCY3M##Blog_317789##q1_a1##3RBI0I35XGHEPHXQUNGE4VOCQ03Y3I,I ' m finding it so hard to lose weight nowadays . It 's my fault for not finding the time to exercise and not having the discipline to diet . I might as well check out diet pill reviews because it might be my only hope if I do n't go on a diet nor exercise .,What may happen after the story ?,The person will start to exercise,The person will not take diet pills,The person will start taking diet pills,The person will start a diet,2,3,[-2.26   -0.4355  1.566   2.596 ]
3JU8CV4BRLAU83Z420SNN953OHHOP8##3DYGAII7PM60FZAE7GQT1YWRHOFPQA##A2CMYWI1J292YJ##Blog_827829##q1_a1##3TRB893CSLOW49DD2TXYACTOQ95G7J,"Ever since Paul died , my dreams have been devoid of him . I ' m pretty sure I ' ve dreamt of everyone else since then , except for him . It really bothers me that my dreams have become so silent in that regard . I interpret dreams as alternate realities - if your mind is what makes things real , I figure there must be a reason why we dream so vividly some nights .",Who was Paul to me ?,None of the above choices .,Paul was important to me .,Paul was silent in front of me .,Paul looked like a dreamer to me .,1,0,[-0.794 -3.35  -4.47  -4.   ]
3Q9SPIIRWL0AKX1BO1D066H2LU4WA6##33TIN5LC07P3R3K01YNQKSNNHAZ9YC##AJ7NSZOAFP05U##Blog_988618##q1_a1##32LAQ1JNTB327PBFZ1PGJNMXOH7UTB,"I got home for a week and things were fine , and then Shannon 's parents ( who are very religious ) found out we were dating . That turned into a big guilt trip for Shannon with her parents and she ended up breaking up with me . I was / am in love with her so I knew it was n't the end . Both of us were hurt , but neither of us wanted to just let it go .",What may have caused Shannon to break up with you ?,I made her do it .,She was n't in love with me .,Her family made her do it .,None of the above choices .,2,3,[-4.63  -3.652 -2.018 -1.687]
3S829FDFT4FN749DIG0OYQ3FFZ7XD2##3Y5140Z9D0V2TQL2E5XKKUTEWX0IPV##AJ7NSZOAFP05U##Blog_1028505##q1_a1##31SIZS5W5BTXZHR6E30G97OQXB4RQQ,"I go to Him every time , find rest in Him . And whenever I read the bible : the thing that strikes me every time again , is that He is faithful , trustworthy , never too late , powerful , etc . etc .",What might be true about him ?,He always helps precisely when I ask for it .,He read the bible .,He is too powerful .,He always helps precisely when I need it .,3,0,[ 2.611 -1.28  -7.08   2.479]
3L84EBDQ370A7LH9RGVMKB2VASKKKI##33OOO72IVIJUDQT2JFYIM38710TCT2##A1OPGPTQJ48XOY##Blog_1333653##q2_a1##378G7J1SJNCDAAIN46FM2P7T6BOEW9,""" So I got up and started to get ready for our hangout . I grabbed a handful of Chex cereal to tide me over until we got dinner and then started choking on said Chex cereal . Not just like , coughing and feeling embarrassed that I had choked on goddamn cereal . No , my throat completely closed up and breathing became a real concern .",What caused your throat to swell up and make you choke ?,None of the above choices .,I may have had an allergic reaction,I ate the cereal too quickly,I had not eaten in a long time,1,3,[-0.836    0.10724 -1.156    0.1373 ]
3R0WOCG21ONVQ0FIDBP1EJ4CM3RDU2##31LM9EDVOO7YLGTVG85SS63JB9YJNC##A394JO4NEPCY3M##Blog_1416914##q1_a1##3MQY1YVHS5YTRR8WGVOPDALK0072BV,"Then we walked around the mall and saw some pretty interesting things ... first there was a huge line outside the mall but when we in the line just magically ended . Still have no idea about what that was about . Some kind of sports thing , I think . Then we walked by KB toys and saw a sign that they had original 1980s My Little Ponies . O_O ... We probably spent too much time thinking over if we should get them or not .",What is likely true about the narrator ?,None of the above choices .,They do not like shopping,They do not like My Little Ponies,They like My Little Ponies,3,1,[-4.92  -1.46  -3.943 -2.666]
3R0WOCG21ONVQ0FIDBP1EJ4CM3RDU2##31LM9EDVOO7YLGTVG85SS63JB9YJNC##A394JO4NEPCY3M##Blog_1416914##q1_a2##31ODACBENWT90WRJTS0LZHTNKU6SQZ,"Then we walked around the mall and saw some pretty interesting things ... first there was a huge line outside the mall but when we in the line just magically ended . Still have no idea about what that was about . Some kind of sports thing , I think . Then we walked by KB toys and saw a sign that they had original 1980s My Little Ponies . O_O ... We probably spent too much time thinking over if we should get them or not .",What is likely true about the narrator ?,They do not like shopping,They do not like My Little Ponies,They like walking around the mall,None of the above choices .,2,0,[-1.46  -3.943 -3.639 -4.92 ]
3TFJJUELSHNX771VAX8KWW3TOO6C22##3JNQLM5FT5KTWVTVDD7LOZP4WMR2LU##A394JO4NEPCY3M##Blog_829583##q1_a2##3E6L1VR4XY07M93D8ZMOMDTGUGF6FZ,"I love art in any shape or form ! Just give me a piece of muslin , a needle and a thread and see what I come up with . I do n't use too many tools and love creating the old fashioned way .",What is probably true about the narrator ?,They only like certain types of art,They are old fashioned,They like using different tools,They are n't creative and artistic,1,2,[-6.09   -1.884   0.413  -0.3896]
3NRZ1LDP7W4677DB493437C78I9ZP4##3VAR3R6G1QZCOVYH6MWEQ761DZE8OQ##A33PQXKQHFVF3V##Blog_91397##q1_a1##3LG268AV3AK82E115C5GFQZCE3PRED,"The airport was declared "" closed "" and we had to sit for 1.5 hours inside the plane . Apparently its related to trade union issues . Off we got , happy to arrive in the US of A and given we were the first plane to disembark rushed to passport control to avoid long lines of irritated passengers detained in other flights due to the storm . David joined the US citizen line and quickly went by , while Vero and Marcos slowly reached the customs officer in the "" rest of states "" line . Problem Number 1 : when we handed over our passport and customs slip to the officer he requested a green visa slip .",Why did the officer request the visa slip ?,The trade union issues required visas to be displayed .,It is just standard protocol for every passenger of the plane .,Because he required payment for the flight we just took .,None of the above choices .,3,0,[ 0.2886 -0.279  -0.5503 -1.584 ]
32FESTC2NHO6RJAXTHIQ2FYL7FQCUL##3AWETUDC93QHC5O1HHJMJU7J0QUZIH##AXJ1PE87PD0KK##Blog_1349334##q1_a1##38LRF35D5NAX88DLKMJP1AIZUCS3UP,When the spoon did n't work he used his hand ! A man who respects and defends the stash of his knit - crazy wife is a great husband and should be showered with gifts . My stash is just located on open shelves in the linen closet .,What do I keep on the shelves in my linen closet ?,I keep yarn for knitting there .,I keep spoons for knitting there .,None of the above choices .,I keep my linens there .,0,2,[-3.357 -4.645 -2.393 -4.953]
3NC6WP7WJHISXL5758XSWXQLKD8WW6##3K5TEWLKGW903LJRGKUJYOUNCPEIVA##A394JO4NEPCY3M##Blog_436382##q1_a1##3OWZNK3RYN38NQH2GM5KI0D7OZ3U2I,"Well since I had an extra cell phone around ( the ex 's cell phone ) , I offered to sell her the phone and allow her to use the existing cell phone line and number since it was still active as long as she paid the bill monthly . Well the so - called friend agreed and now we get to the cream of the crop of this blog entry . Well , the young lady was doing a good job paying her bill from January until April . I know it 's August now but what in the hell happened in May ?",What may happen after this story ?,They might make the friend sell the phone,They may take the phone off their plan,None of the above choices .,They might make the friend give back the phone,1,2,[-4.695 -5.555 -3.592 -4.22 ]
31YWE12TE0ASW69W75L2605B0O67X9##3D3VGR7TA1DTKBKRMXIMTL3V8003RW##A1OPGPTQJ48XOY##Blog_945705##q1_a1##3PMR2DOWOQF15P6AJZG033IP9W6456,"I ca n't climb the stairs without wheezing . Ever since my doctor implied I was ready to have the baby at any time , I read way too much into every ache and pain . Could THAT be the start of a contraction ? What about THAT ?",Why did you begin to read so much into any ache or pain ?,I thought that they may be indications that I was entering labor,I thought that I should be considerate to my body and how I feel,None of the above choices .,I thought that I should be careful and take care of myself,0,1,[ 5.926  6.953 -2.6    1.831]
367O8HRHKIM2BR4LVVT8WESHN7CS4C##3ITXP059PZYV1TL0O4MER0DPWU7SJ4##AJ7NSZOAFP05U##Blog_786474##q1_a1##3DA79LNS5B9I8VYWKHTFWEWXB4O3TD,"He was somewhere his bodyguards did not think anyone would find . He was going to try to remain there for a few days until the talk of his attempted assassination was long past . He knew better , though , of course he did .",What may have been his reason for hiding with his bodyguards ?,He tried to kill someone .,Someone was trying to kill him .,He wanted to remain there so no - one could find him .,Someone was trying to kill his bodyguards .,1,2,[-2.432 -1.55   1.799 -3.406]
3YGE63DIN8VZPV4MC147P2HHJKMW0L##3U0SRXB7CE30OFD14G212Z11E0RNRZ##A3GVXFBYAU9HP##Blog_1009432##q1_a1##3EAWOID6MVB14V3O6PBBVYMB5CA0VJ,"Last night 's Reading Fest warm - up show was probably the last chance anybody here in England will have had to see MGMT in a relatively small venue before they return in November for a full tour , and my God was it worth the trek . Oxford 's recently converted and renovated Carling Academy is on nothing like the scale of their other venues ( Brixton etc . ) , and the benefits of brand new sound and technical equipment are incredible .",Why was it worth it to see MGMT in such a small venue ?,"Oxford 's Carling Academy has good equipment , so the sound quality was acceptable .","Oxford 's Carling Academy has reliable equipment , so the sound quality was satisfactory .","Oxford 's Carling Academy has new equipment , so the sound quality was amazing .","Full tours are very large , so it 's easier to see MGMT on stage than in a small venue .",2,3,[-2.668 -2.979 -2.092  3.178]
3MNJFORX8DIB353Z3GCJU7FGYTWF50##3K3R2QNK8EIMAU0VRXQ1H7HANI59UP##AO33H4GL9KZX9##Blog_789396##q1_a1##31GN6YMHLR6EKTN551ZRR6B98V7WSR,So I sent my greetings and salutations via Ron to Tommyboy . We arrive at the parking lot and Park Blvd was lively with club goers and happy drunk people . It was a festive night between the Flame and Numbers .,What might have we done   once we 're out of the parking lot ?,We might have gone into the Park blvd and picked a club to dance and drink in .,We might have gone into the Park blvd and picked a lot to dance and drink in .,We might have stayed in the parking lot and picked a club to dance and drink in .,None of the above choices .,0,1,[ 0.926   1.376   0.7197 -3.953 ]
3HEADTGN2R6P4PNN02UQFUNYD2BVRD##3WRFBPLXRD3N02R6DND5CZMUBEJN3B##A29RROPO0Z90XV##Blog_667119##q1_a2##32TMVRKDGPCKS7PCHXN3FNSGBOL48Q,"I really ca n't wait ! Last week was torture with the 14 hours of overtime , and I ' m not doing any this week . I ' m hoping to just coast through this week at work with minimal issues , though most likely that wo n't be the case . Tonight I ' m getting my hair cut and colored . I ' ve never colored my hair so this should be an experience .",Why did she work so much overtime ?,It was the hollidays and she works retail .,She needed more time to get her hair fixed .,She needed a recommendation for a new hair style .,None of the above choices .,0,2,[-2.697  -1.319  -0.8022 -2.65  ]
388FBO7JZRR6ZWRTS8OTLBYA294YNG##3SEPORI8WOX26N535TR92WJ0NSCAZV##A394JO4NEPCY3M##Blog_459491##q1_a1##3E9ZFLPWO064FFPZAU1ZPNJS7DHIX9,"It 's like riding a bicycle - I was pleased to discover . After so many years , it all came back . I ' m a bit rusty technically and completely out of shape , but it feels good .",What is probably true about the narrator ?,None of the above choices .,They are learning to do something new,They are learning to ride a bike,They are doing something they have not done in a long time,3,1,[-3.729  8.266  0.757  6.637]
3ZRKL6Z1EAHIN7X5QWV953PKC46GSR##3XLBSAQ9Z7RZIA6CINRPK35JPGA7ZL##AO33H4GL9KZX9##Blog_1553367##q1_a1##3LVTFB9DE7W6ARISYS64A3AJVWZGQD,"i was really hurt by this and i was devestated and i told him so . He said its cuz he was really frustrated , so i slapped him and said ' so you think i m frustrating ? just cuz u want some does not mean you go behind the woman you ' love ' to get some . i ca nt believe you would do this to me .",What might I do after this now that he has cheated on me ?,I might stay with him and start new relationships with many people .,I might break up with him and recommit to the relationship .,None of the above choices .,I might break up with him and start a new relationship .,3,1,[-3.117  1.572 -1.999  1.494]
33NOQL7T9OXL1FEUIS1THLHHJ148ZA##32EYX73OY17DJ5XA1HENGUTVKLEUR4##A1OPGPTQJ48XOY##Blog_1523609##q1_a1##3K2CEDRACDFJUH66QZYUSD53BJXTMN,Happy Birthday to my Mom ! We had a party for her here at my house . It was the same crowd that was at Dad 's party but this time all of Mom 's kids were there !,Why did you have the party for your mom at your house ?,My mom did not want to host the party,I wanted to host the party and I have space for a party at my house,The party was a surprise party for my mother,None of the above choices .,1,2,[-3.424 -2.67   1.358 -1.4  ]
338GLSUI45PC971AFCPRNIP8CZ9FSF##3COPXFW7XERTZLBQE8IWXA8RO52PKY##A2KYOM2ZGYDJGT##Blog_804711##q1_a1##3T8DUCXY0PK4NXNC1QUPNRZJBW39T5,"Because for over a month now , I ' ve been waiting for a cheque by way of compensation for a bag that went missing on the holiday I took earlier this year , and I ' ve just about reached the limit of my frustration . Should it be this difficult ? I ' ve never had to go through this claims process before , and I 'd love to hear from you if you have .",What 's a possible reason the writer 's bag went missing ?,Because the writer was on a holiday .,None of the above choices .,Because the writer has been waiting for a cheque .,Because it was over a month ago .,1,0,[-0.2163 -2.492  -4.793  -3.896 ]
32CAVSKPCENM4G0ZDKT6LJFU3H41UN##384PI804XTZ94YL7IZ08HXAKQBTS0D##A33PQXKQHFVF3V##Blog_1009279##q1_a1##329E6HTMSYGJ5C89Q8FNVN91SJNK3Y,"about it . about this ... idk , the first heart beat i think i ' ve felt in a while . I know that we 're gon na be apart for a little while , but now i thnk i have more drive than anytime ever . and i know i said that i was n't going to set myself around a boy ... but if it makes sense , this is n't for him at all .",What is the reason that I am feeling like this ?,This is what happens when you feel a heartbeat .,Because we are going to be apart for a while .,It just makes sense to feel this .,I have feelings for the boy I have n't felt for a while .,3,0,[-2.    -7.7   -3.791 -3.375]
3QXFBUZ4ZKEJ8VQ2V3E9S6J05L0UGN##338JKRMM27XGF259Z7L22PFVSKHHAZ##A1OPGPTQJ48XOY##Blog_39999##q1_a1##3DZKABX2ZKJLYNY4I54VQZOCE17CVO,"I was n't thrilled with the color selections ... black and off white , but it made it easy to decide which colors to buy . I 'll be putting my scrapbook stuff away for awhile and get back to making some more bottle cap pincushions . On my way to town I drove by the garden center and suddenly remembered they have a farmers market on Saturday mornings . There were only a few vendors , but they had what I wanted !",What did you do after shopping at the farmers market ?,I realized that I had spent too much money and wanted to find a way to return some of my items,I found the manager at the farmers market and told them that the prices were unfair,I went home and cooked off all the produce I had purchase for lunch,I went to the grocery store because I needed some other ingredients the farmer 's market did not have,2,3,[-2.725  -4.492  -4.19    0.1254]
39O0SQZVJN58ZANKY6FAHIJNZ817RV##32N49TQG3HGLX30T4W26HQ64ZK1AVW##A2KYOM2ZGYDJGT##Blog_106147##q1_a1##31GECDVA9L0B3GA276JKS7G31J166P,"He is 10 months old and is testing us big time . By that I mean he is going the bathroom in the house and here is the thing , when my brother comes to visit he sleeps on the couch in the living room where the dog stays while he is visiting the dog is a peach . He does n't chew stuff up or go the bathroom inside . It 's not like he is n't out enough either , my daughter takes him out about every hour and a half to go the bathroom .",Why is the dog going to the bathroom in the house ?,Because the writer 's brother sleeps on the couch .,None of the above choices .,Because the dog does n't chew stuff up .,Because it does n't know any better .,3,1,[-6.645 -1.238 -5.37  -3.258]
37Y5RYYI0RJT9TSVF6VDTPPFGDYXSZ##3SNVL38CI77A5W2M93WQDA9KQMFCK0##A2KYOM2ZGYDJGT##Blog_675442##q1_a1##302OLP89D1L16ZV67ADZUCAZTU7ACS,"Recently , while dining on my now - cold meal ( do moms ever eat warm food ? ) at our loud , chaotic supper table after a typically crazy day of spinning my wheels , I looked up through the happy chatter ( and clatter ... and beating of the platters ... ) and caught my husband 's weary , laughing eyes . He winked .",Why is my meal cold now ?,Because moms never eat warm food .,Because I was busy with other things after I served it .,None of the above choices .,Because I was spinning my wheels .,1,2,[-3.326 -2.479 -1.865 -6.87 ]
3WGCNLZJKHMFH3OKBNFH3HZEAMG1D6##338JKRMM29EVAR4GJ4X2UN34XZAAH5##A394JO4NEPCY3M##Blog_1312805##q1_a1##33BFF6QPI3PA0C2QFMYQJY3WFYB3W8,"Between work , my katze waking me up like every hour , and god only knows what else , I think it is time . I am most def going to the chiropractor in the afternoon tomorrow . I had Iris look at her skydiving stuff again . It is here in Indiana .",What is probably true about the narrator ?,They are not having trouble sleeping,They are not having back problems,They do not believe in chiropractors,They are having back problems,3,0,[ 0.0952 -3.383  -4.92   -2.361 ]
3WGCNLZJKHMFH3OKBNFH3HZEAMG1D6##338JKRMM29EVAR4GJ4X2UN34XZAAH5##A394JO4NEPCY3M##Blog_1312805##q1_a2##3OID399FXIL67IISIMU2SJ38B8AFDK,"Between work , my katze waking me up like every hour , and god only knows what else , I think it is time . I am most def going to the chiropractor in the afternoon tomorrow . I had Iris look at her skydiving stuff again . It is here in Indiana .",What is probably true about the narrator ?,They are not having trouble sleeping,They do not believe in chiropractors,They are not having back problems,They want to go skydiving,3,0,[ 0.0952 -4.92   -3.383  -3.508 ]
3ICOHX7ENEPK2KH2BZM1VUYP54O0E4##3A4TN5196NXJ361E3ITT0ITSX17CHJ##AJ7NSZOAFP05U##Blog_1604710##q1_a1##3QGTX7BCHRGH8MUZ4S6QXZVYAW0Z5E,"So , I woke up this morning feeling much refreshed . I still took some NyQuil before going to bed , but I slept through the night and had no breathing problems that I can recall . Both sinus rinses today proved I am getting better and Luke gave me some Lysine ( along with a multi vitamin , a glass of cider and some scrambled eggs ) to take this morning . I ' m going to fly med free tonight and see how I do .",What may have been your reason for taking NyQuil before bed ?,I needed to clear up some congestion .,I needed to clear up the Lysine .,None of the above choices .,It makes me feel refreshed in the morning .,0,1,[-0.2979 -0.0495 -1.954  -2.027 ]
3SZYX62S5GYJUNPM1Z27EHER7QC57F##3QBD8R3Z22HB5UBFUJ619VQWBHKO49##AJ7NSZOAFP05U##Blog_1554058##q1_a1##3P7QK0GJ3VZP9PBCM94SZSSMQIX2ZW,"I just wanted to share with you my blessed day of God 's favor in the ordinary that made it extraordinary ! I had a meeting on base this morning and then had errands to run on the base . I knew they would all be time consuming - waiting to see a Tax volunteer to help me file our taxes ( a job John usually does ) , picking up a prescription , and mailing a box to my beloved .",What may happen when you 're running errands on the base ?,I would get my medication .,None of the above choices .,John would help me file my taxes .,I would neglect getting my medication .,0,2,[-2.64  -2.387 -1.862 -5.79 ]
30U1YOGZGCAFBNNEO6U1ZIMN0QSDS9##373ERPL3YRNDEHHSL90D3WV29NQTRK##A2KYOM2ZGYDJGT##Blog_1171906##q1_a1##386659BNTNVLIJNQZBRMOAFVGAY10U,"It makes the separation from loved ones so much easier . So on a very personal note : I want every member of my family and all of my friends - near and far , to know how much I love and cherish each one of you ! My life is what it is because of you and the things you have taught me and the experiences you have shared with me . I have been so blessed !",Why have I been so blessed ?,Because i want you to know how much I love and cherish each one of you .,Because of the things you have taught me .,Because I have a loving family .,Because it makes the separation from loved ones so much easier .,2,1,[-3.236  -0.0768 -4.99   -3.098 ]
382GHPVPHSPJXLKZLIG7W8WX2YP43A##3ZPBJO59KQZED98LJHC4SQN1D2UDH7##AXJ1PE87PD0KK##Blog_298872##q1_a2##3ZG552ORAOI80562LCFPEMFQ2822V9,But it just makes me feel unimportant . Unless I have something really important I almost always go out to his house to look after him or just cuddle with him if he 's sick . It just does n't feel like it 's reciprocated .,Why am I feeling unimportant ?,I have no one to look after me or just cuddle me .,None of the above choices .,My boyfriend does n't reciprocate my efforts .,I am sick and want my boyfriend to cuddle .,2,1,[-6.04   -0.9824 -1.007  -1.372 ]
3K8CQCU3KEZ2ARWTD7650EDUR2LNWP##39PAAFCODNYQCZZ2AWTNCVWWNDTTVF##AJ7NSZOAFP05U##Blog_1574599##q1_a1##33KGGVH24WVTF9T12NGTXO26QCKX1C,"I packed a big apple because I knew I 'd want something in the AM , but did n't expect not to get home much later from the time I woke up . The bf and I decided to do some shopping at Dick 's , which put things back . When I finally got home at 1:00 I made breakfast .",What may be your reason for packing an apple into your breakfast ?,None of the above choices .,I knew I was going to have a late breakfast .,I needed a snack while I was at Dick 's .,I needed a snack .,3,1,[-3.31  -1.538 -3.55  -2.902]
386T3MLZLNTOZU84EYO1BMEV1Y5082##3RKNTXVS3NWM3QHEK01J806RLEGA4N##A1OPGPTQJ48XOY##Blog_1232608##q1_a1##3RSBJ6YZEE4XBF9H8V8I3DF7FE1FOL,"We 're married with kids and we grew up around the race track , worked on cars our whole lives , our parents own shops and things like that . So I think we relate to each other really well on that side too and we feel comfortable working with each other . It 's great that we find similarities in our race cars , so it 's been really good .",What could you do with them that would be a fun activity for all of you ?,None of the above choices .,Going out for dinner as a group would be a lot of fun,A day down at the race track either racing or watching other cars race would be fun for all of us,Inviting them over to look at our race cars would be interesting for them,2,3,[-0.909 -4.89   4.38   5.46 ]
389A2A304OGQBXYHVA46D8AEROQ0C6##3B2X28YI3XD51NQK92UU09ABZIFB62##A1OPGPTQJ48XOY##Blog_66382##q1_a1##3GMLHYZ0LGBYOBA997CFR4EC3AHYUE,"I had to cancel the interview and take Em home because she was so unhappy . I 'm sure there was no symbolism whatsoever involved in that dream . On the up side , Emily is totally on board with going to the zoo today ! It 's unbelievable , considering what a homebody she 's turned into . Plus she 's still in her jammies and is playing her favorite computer game , so those are other factors which might make her say no . Her favorite phrase is "" maybe later "" but she 's going for this .",What will Emily do if she does not go to the Zoo ?,She will ask to go to a park or to the movies,None of the above choices .,She will want to stay in and read a book,She will want to stay home and play computer games instead,3,0,[ 1.082 -1.611 -3.742 -2.912]
3K3G488TR4M8UUT8HWND66JU5FNQ5R##32ZKVD547I2LZT29AX8WL4M0WBP3BW##AJ7NSZOAFP05U##Blog_373157##q1_a1##3L21G7IH49AIFEJB7J2VG29FSMS1Y8,"I have a city teacher friend who 's class room had a better library than the school 's . I picked up a couple of books on music , biography and computer stuff . While browsing the biography section looking for anything related to the space program I was asked by someone if I knew a lot about computers . What gave it away ?",What may be your reason for not getting books at the library ?,The library did n't have a biography section .,I knew of a better place to go .,None of the above choices .,I knew of a place to go that had the computer books I wanted .,1,0,[-3.475 -4.793 -3.629 -4.312]
3KTZHH2ONKT0WXEIN1NZ1H9GXMC8M9##3LOTDFNYAAE838GDPJ5U9ROIB1NFW8##A2KYOM2ZGYDJGT##Blog_1132046##q1_a1##3EKTG13IZWHVB4Y1HQW36MVNIZYMLP,"It 's not how hot the summers are here as much as how long they go on . Temperatures started topping 100 degrees in May this year , and for a little while it 's bracing . You think you 'll fight it out , but by August you are desperate and the sun seems to hang smug and sullen at dead noon all day long . There 's a vicious , personal quality to the heat of these late summer days , like summer has it 's teeth in your neck and it 's going to shake you till you 're limp , wring the last bit of juiciness out of you before , if we 're lucky , it dies in late October .",Why do they want the summer to end ?,because they 'll fight it out,None of the above choices .,because it is too hot,because by August you are desperate,2,1,[-6.676 -2.604 -2.902 -7.73 ]
30IRMPJWDZHWUPU4H04JLNO95PKKRR##3DIP6YHAPDQQC4LSC8TILVCN8JI8E3##AO33H4GL9KZX9##Blog_994618##q1_a1##3XUSYT70IVFFAE32F4BHPCG45YA0DA,Despite my best of intentions I keep falling back to old habits . They die hard apparently . Last night I was online for about 5 hours which is about four hours too long .,What might I be intending to accomplish ?,I might be trying to accomplish being online no more than an hour a day .,I might be trying to accomplish being online no more than 3 hour a day .,I might be trying to accomplish being online more than an hour a day .,I might be trying to accomplish being online no more than 2 hour a day .,0,3,[-2.682 -3.174 -4.1   -2.516]
3GL25Y68458QBYFQV9ZRHGQ9OTIMXO##39ZSFO5CABBBG6D4D9HE61VDJP1JUI##AJ7NSZOAFP05U##Blog_216886##q1_a2##3ICOHX7ENEPK2KH2BZM1VUYQ6ZK0ET,"So they cut me back to half time and told me I could apply for the career practitioner position , or the office administrator position . After taking a day or so to think about it , I decided that I did train to be a teacher and I would get back to that . So , I got an evening class back at MacEwan , and a couple of interesting possibilities elsewhere . The contract work rat race begins again , but I ' m looking forward to it .",What may have caused you to switch positions ?,I was n't chasing my original goal .,My hours were increasing .,None of the above choices .,I got tired of my original goal to be a teacher .,0,1,[-0.2026  1.014  -2.623  -0.992 ]
306W7JMRYYWPJHBECELQV3AES3Z8BV##3VFJCI1K40XUENWFHCP6CFS4CZJGRJ##AJ7NSZOAFP05U##Blog_812761##q1_a1##3AA88CN98RHKLF5XFT8DLH5E1MPKYF,I got him a little gift he wanted and i do nt mind at all gettin him things . but he said that when he came back he would love to try and win me a stuffed animal and get me something in return . but he did nt . it kinda hurt my feelings .,What may have been the reason for your feelings being hurt ?,He did n't get a toy he wanted and it hurt my feelings as well as his .,I broke my promise to him .,I did n't get a toy I wanted .,None of the above choices .,2,0,[ 2.91   -0.7266  0.1515 -2.059 ]
3HJ1EVZS2QX5SGL4GSOKWZVFNBJR30##3L2IS5HSFDX7ZW4PS796Z8CUQVHUNE##A1OPGPTQJ48XOY##Blog_1174641##q1_a1##3R5OYNIC2ENPFK3JIFQM9HZYG10PTX,"I woke up today feeling negative and i hate it . So i intend on just saying it all here and hopefully leaving it behind . I am sorry that i did n't even think to call once i got there , and I do understand your frustration and therefore understand your reaction . But what made me feel negative this morning as i woke up was the fact the way you were actually treating me at the time .",What might happen if you just apologized to them and accepted the blame ?,We would continue to bicker because I know that I am right,They would continue to make me feel bad for not calling even though I apologized,None of the above choices .,They would not accept my apology knowing that I was just trying to get over the fight,2,3,[ 2.828  0.809 -1.017  4.875]
3H6W48L9F4N2DC86TMJX43IPRNFPWS##3QHK8ZVMINGNK8TRW60WPSS8RY2LBQ##AXJ1PE87PD0KK##Blog_1266575##q1_a1##3X878VYTIGWQQ9HIR9RGSRTCPU07F6,"I certainly do n't need someone who keeps nagging about loosing weight all the while rejecting to do anything against it . So when this other more solemn but dear friend of mine approached me to do the competition with her , I would have been awefully stupid to say no . So yes , I behaved immaturely not to tell you that you are a lazy , fat , depressed person and that I could no longer stand the sight of you ... but would it have changed anything ? No , cause you 're so incredibly full of yourself .",Why did I behave immaturely ?,I was too lazy and depressed not to .,I was angry at you for being selfish .,I was grumpy from loosing weight .,I was asked to do a competition with a friend .,1,2,[-2.1   -3.555 -1.624 -2.188]
3VP28W7DUPY9AJNOA4JZJBMBZP1ZFI##339ANSOTR8H1IZOM1DSCOD7F34RIKQ##A33PQXKQHFVF3V##Blog_1357671##q1_a1##374UMBUHN736LVUFDA4GPH0RHKBTCH,"In our doubtful economy , citizens need to consider various alternatives to fight the attack of undue costs . The most significant bills that citizens come across every day are those for dwelling , real estate loan payment or lease , and periodical vehicle notes along with insurance . The bills may grow utterly depending on the season of the year that arouses extra methods .",Why must a person deal with these bills and debts ?,"They usually do n't , this is just a blanket statement of a politician .",The doubtful economy causes this result in humanity .,None of the above choices .,The undue costs will be what drive down the economy .,2,3,[-2.18   -3.537  -3.316   0.6694]
388CL5C1RJLUP1YJ6V4QMJZI7G2HL5##3X31TUMD7YKM7ABZU977JGFZ4GU1LT##A394JO4NEPCY3M##Blog_199553##q1_a1##3LEG2HW4UH1J48KCLXALW0C4EBD2FE,"Eventually users can click a tag to find shots of a particular subject in their photo collections , The face recognition technology came to Google via its 2006 acquisition of Neven Vision , Horowitz said . There are other changes coming to Picasa Web Albums ( though a change to Google Photos is n't one of them , at least right now ) . One is an "" explore "" view that lets people browse the total collection of public Picasa photos .",What will probably happen after this story ?,There will be more changes to Picasa,People will not be able to browse public Picasa photos,None of the above choices .,There will be more changes to Google photos,0,3,[ 1.944 -3.209 -4.21   2.797]
378G7J1SJNCDAAIN46FM2P7T6I6EW5##32Z9ZLUT1OZKCVYHTN2KVIN9NELOHM##A394JO4NEPCY3M##Blog_45864##q1_a1##3VDI8GSXAH704NIWCYP4OCPJ1YC8G9,"As a coworker likes to say , "" Did I take a foolish pill ? "" Today I spent hours searching the house for my keys , only to find them in my purse in a pocket that I am POSITIVE I already checked ! * shakes head at self * This and the last post really make me wonder .",What is probably true about the narrator ?,They do not feel forgetful right now,They feel foolish right now,They knew exactly where their keys were,They do not feel foolish right now,1,0,[ 3.07  -3.398 -3.693 -3.94 ]
